Date,Open,High,Low,Close,Adj Close,Volume,signal,predi,prediDesplazado,hull
2018-01-10,4.150000095367432,4.249000072479248,4.146999835968018,4.242000102996826,3.5678043365478516,20374056,1,1,1.0,1.0
2018-01-11,4.232999801635742,4.339000225067139,4.190999984741211,4.271999835968018,3.593036651611328,17649985,1,1,1.0,1.0
2018-01-12,4.2779998779296875,4.309000015258789,4.242000102996826,4.28000020980835,3.5997650623321533,15190162,1,1,1.0,1.0
2018-01-15,4.2779998779296875,4.294000148773193,4.250999927520752,4.271999835968018,3.593036651611328,22767573,1,1,1.0,1.0
2018-01-16,4.2789998054504395,4.294000148773193,4.255000114440918,4.25600004196167,3.5795791149139404,14987595,1,1,1.0,1.0
2018-01-17,4.241000175476074,4.2789998054504395,4.2210001945495605,4.261000156402588,3.583784818649292,17859440,1,1,1.0,1.0
2018-01-18,4.269000053405762,4.288000106811523,4.24399995803833,4.260000228881836,3.5829436779022217,8999481,1,1,1.0,1.0
2018-01-19,4.25,4.329999923706055,4.249000072479248,4.307000160217285,3.6224746704101562,12141568,1,1,1.0,1.0
2018-01-22,4.309999942779541,4.421999931335449,4.276000022888184,4.420000076293945,3.7175140380859375,23621006,1,1,1.0,1.0
2018-01-23,4.409999847412109,4.422999858856201,4.349999904632568,4.364999771118164,3.671255350112915,15460973,1,1,1.0,1.0
2018-01-24,4.364999771118164,4.382999897003174,4.311999797821045,4.311999797821045,3.6266791820526123,16534354,1,1,1.0,1.0
2018-01-25,4.304999828338623,4.440000057220459,4.302000045776367,4.440000057220459,3.7343358993530273,17732559,1,1,1.0,1.0
2018-01-26,4.429999828338623,4.449999809265137,4.39300012588501,4.4079999923706055,3.7074215412139893,10165482,1,1,1.0,1.0
2018-01-29,4.415999889373779,4.418000221252441,4.333000183105469,4.379000186920166,3.683030605316162,11523973,1,1,1.0,1.0
2018-01-30,4.335999965667725,4.359000205993652,4.315999984741211,4.331999778747559,3.6435000896453857,22566252,1,1,1.0,1.0
2018-01-31,4.324999809265137,4.355000019073486,4.304999828338623,4.3470001220703125,3.6561167240142822,12658368,1,1,1.0,1.0
2018-02-01,4.361999988555908,4.4039998054504395,4.284999847412109,4.364999771118164,3.671255350112915,13469034,1,1,1.0,1.0
2018-02-02,4.2129998207092285,4.321000099182129,4.114999771118164,4.235000133514404,3.561917304992676,29270051,1,1,1.0,1.0
2018-02-05,4.210000038146973,4.234000205993652,4.142000198364258,4.179999828338623,3.515658140182495,15498145,1,1,1.0,1.0
2018-02-06,4.059999942779541,4.169000148773193,4.019999980926514,4.0960001945495605,3.445009231567383,27092612,1,1,1.0,1.0
2018-02-07,4.173999786376953,4.196000099182129,4.072999954223633,4.181000232696533,3.5164995193481445,22314215,1,1,1.0,1.0
2018-02-08,4.164999961853027,4.205999851226807,4.065999984741211,4.072000026702881,3.42482328414917,24658256,1,1,1.0,1.0
2018-02-09,4.046000003814697,4.084000110626221,3.9630000591278076,4.01200008392334,3.374359369277954,27860721,1,1,1.0,1.0
2018-02-12,4.060999870300293,4.105999946594238,4.0320000648498535,4.071000099182129,3.4239821434020996,14860323,1,1,1.0,1.0
2018-02-13,4.081999778747559,4.093999862670898,3.9760000705718994,3.9760000705718994,3.344080924987793,13808568,1,1,1.0,1.0
2018-02-14,4.013999938964844,4.0329999923706055,3.933000087738037,3.990999937057495,3.356696844100952,17656975,1,1,1.0,1.0
2018-02-15,4.034999847412109,4.111999988555908,3.9570000171661377,3.993000030517578,3.3583791255950928,13380279,1,1,1.0,1.0
2018-02-16,4.025000095367432,4.039000034332275,3.994999885559082,4.020999908447266,3.3819286823272705,17720354,1,1,1.0,1.0
2018-02-19,4.041999816894531,4.105000019073486,4.031000137329102,4.070000171661377,3.4231410026550293,27961769,1,1,1.0,1.0
2018-02-20,4.068999767303467,4.084000110626221,4.03000020980835,4.047999858856201,3.404637575149536,12752819,1,1,1.0,1.0
2018-02-21,4.03000020980835,4.057000160217285,3.9760000705718994,4.044000148773193,3.401273250579834,11734213,1,1,1.0,1.0
2018-02-22,4.020999908447266,4.0289998054504395,3.9760000705718994,4.005000114440918,3.368472099304199,12320505,1,1,1.0,1.0
2018-02-23,4.00600004196167,4.014999866485596,3.938999891281128,3.9779999256134033,3.3457629680633545,8856056,1,1,1.0,1.0
2018-02-26,4.020999908447266,4.045000076293945,3.986999988555908,3.994999885559082,3.3600611686706543,18733714,1,1,1.0,1.0
2018-02-27,4.014999866485596,4.033999919891357,3.9800000190734863,4.014999866485596,3.376882314682007,11214627,1,1,1.0,1.0
2018-02-28,4.0,4.035999774932861,3.9760000705718994,4.01200008392334,3.374359369277954,17356952,1,1,1.0,1.0
2018-03-01,3.984999895095825,3.996000051498413,3.930999994277954,3.9739999771118164,3.3423988819122314,13895874,1,1,1.0,1.0
2018-03-02,3.9489998817443848,3.9519999027252197,3.8429999351501465,3.8480000495910645,3.236424207687378,16576832,1,1,1.0,1.0
